student_id,name,attendance,internal_marks,study_hours_per_day,previous_cgpa,assignments_completed,extracurricular,performance
1,Nikhil Shukla,78.37,31.75,2.75,5.34,1,0,Low
2,Simran Sethi,41.91,36.56,2.33,7.61,8,0,Low
3,Komal Shukla,82.08,59.37,4.49,5.67,0,0,Average
4,Sai Ghosh,60.42,40.88,9.57,6.02,1,1,Low
5,Nisha Patel,90.85,72.26,8.07,8.38,8,0,High
6,Simran Kumar,73.12,88.06,6.19,9.17,9,0,Average
7,Nisha Banerjee,42.75,45.95,2.89,4.48,3,0,Low
8,Komal Walia,67.2,88.39,1.63,6.13,10,1,Average
9,Nisha Banerjee,78.88,72.64,1.71,8.37,2,1,Average
10,Deepak Gupta,99.37,74.8,5.57,8.11,0,0,High
11,Pranav Sethi,88.3,58.08,0.66,9.48,9,1,Average
12,Ritika Malhotra,69.95,91.93,6.43,4.86,2,0,Average
13,Krishna Saxena,72.34,82.29,4.28,7.5,5,0,Average
14,Kunal Kumar,69.61,82.9,8.61,4.92,2,1,Average
15,Ankita Mehta,63.09,71.71,4.68,5.51,8,0,Average
16,Aisha Reddy,80.9,67.59,2.67,7.85,1,1,Average
17,Rahul Shah,67.22,96.77,8.76,5.58,8,0,Average
18,Gaurav Reddy,92.23,50.89,6.39,7.65,2,1,Average
19,Vivaan Mehta,72.36,84.5,5.3,4.0,5,1,Average
20,Kiran Patel,95.75,91.51,8.32,5.85,0,0,High
21,Neha Agarwal,45.14,64.02,0.69,8.56,2,0,Low
22,Simran Das,96.81,41.56,5.28,7.64,3,0,Low
23,Ananya Menon,63.94,77.02,3.73,9.4,7,0,Average
24,Simran Chopra,43.84,31.47,5.54,7.53,0,0,Low
25,Priya Tandon,43.53,34.72,0.31,5.98,8,0,Low
26,Ananya Agarwal,69.12,67.75,7.23,9.29,9,1,Average
27,Zara Singh,88.45,43.33,0.97,6.59,6,1,Low
28,Ananya Iyer,80.4,98.89,0.98,6.42,5,0,Average
29,Rhea Malhotra,51.41,61.4,4.22,5.67,3,0,Low
30,Shaurya Tripathi,45.87,75.65,5.41,4.09,1,0,Low
31,Nisha Chatterjee,69.14,44.96,4.01,4.35,6,0,Low
32,Ishaan Iyer,95.59,84.96,2.85,8.18,8,1,Average
33,Vihaan Bhatia,57.8,97.81,5.79,7.25,5,0,Low
34,Ramesh Rao,68.61,94.36,5.31,4.34,8,0,Average
35,Nikhil Arora,44.11,34.76,8.62,6.42,9,0,Low
36,Pranav Tandon,42.38,35.74,6.57,7.39,5,1,Low
37,Sneha Kumar,82.97,46.71,3.96,8.03,4,1,Low
38,Rahul Chatterjee,40.56,73.48,5.63,4.6,8,0,Low
39,Rhea Kapoor,47.95,54.43,0.69,5.47,4,0,Low
40,Neha Shah,82.21,72.82,9.87,7.92,0,1,High
41,Priya Mukherjee,96.34,39.4,1.15,4.64,8,0,Low
42,Diya Singh,76.29,80.23,2.04,7.81,4,1,Average
43,Shaurya Chaudhary,45.54,59.65,2.77,4.02,2,1,Low
44,Suresh Mishra,73.1,59.94,0.1,4.45,2,0,Average
45,Pranav Walia,74.95,40.37,1.27,5.85,0,1,Low
